,dataset,cleaned,round,model,testAccuracy
392,DHFR,yes,6,Mix,0.7068965517241379
393,DHFR,yes,6,GCN-A,0.7336206896551725
394,DHFR,yes,6,GCN-B,0.8017241379310345
395,DHFR,yes,7,DK,0.6637931034482759
396,DHFR,yes,7,uGCN,0.6379310344827587
397,DHFR,yes,7,Mix,0.6637931034482759
398,DHFR,yes,7,GCN-A,0.6517241379310346
399,DHFR,yes,7,GCN-B,0.6982758620689655
400,DHFR,yes,8,DK,0.6637931034482759
401,DHFR,yes,8,uGCN,0.7327586206896551
402,DHFR,yes,8,Mix,0.7758620689655172
403,DHFR,yes,8,GCN-A,0.7017241379310345
404,DHFR,yes,8,GCN-B,0.7758620689655172
405,DHFR,yes,9,DK,0.6551724137931034
406,DHFR,yes,9,uGCN,0.7155172413793104
407,DHFR,yes,9,Mix,0.7241379310344828
408,DHFR,yes,9,GCN-A,0.6715517241379312
409,DHFR,yes,9,GCN-B,0.7413793103448276
410,DHFR,yes,10,DK,0.6551724137931034
411,DHFR,yes,10,uGCN,0.6637931034482759
412,DHFR,yes,10,Mix,0.6724137931034483
413,DHFR,yes,10,GCN-A,0.7198275862068966
414,DHFR,yes,10,GCN-B,0.7672413793103449
415,DHFR,yes,11,DK,0.7068965517241379
416,DHFR,yes,11,uGCN,0.7068965517241379
417,DHFR,yes,11,Mix,0.6982758620689655
418,DHFR,yes,11,GCN-A,0.7637931034482759
419,DHFR,yes,11,GCN-B,0.8103448275862069
420,DHFR,no,0,DK,0.6907894736842105
421,DHFR,no,0,uGCN,0.7631578947368421
422,DHFR,no,0,Mix,0.7697368421052632
423,DHFR,no,0,GCN-A,0.7
424,DHFR,no,0,GCN-B,0.7368421052631579
425,DHFR,no,1,DK,0.7039473684210527
426,DHFR,no,1,uGCN,0.7368421052631579
427,DHFR,no,1,Mix,0.7697368421052632
428,DHFR,no,1,GCN-A,0.6980263157894736
429,DHFR,no,1,GCN-B,0.7302631578947368
430,DHFR,no,2,DK,0.7368421052631579
431,DHFR,no,2,uGCN,0.6973684210526315
432,DHFR,no,2,Mix,0.7039473684210527
433,DHFR,no,2,GCN-A,0.7151315789473685
434,DHFR,no,2,GCN-B,0.75
435,DHFR,no,3,DK,0.6644736842105263
436,DHFR,no,3,uGCN,0.743421052631579
437,DHFR,no,3,Mix,0.7631578947368421
438,DHFR,no,3,GCN-A,0.6539473684210526
439,DHFR,no,3,GCN-B,0.7039473684210527
440,DHFR,no,4,DK,0.6513157894736842
441,DHFR,no,4,uGCN,0.7631578947368421
442,DHFR,no,4,Mix,0.7828947368421053
443,DHFR,no,4,GCN-A,0.6486842105263158
444,DHFR,no,4,GCN-B,0.7236842105263158
445,DHFR,no,5,DK,0.756578947368421
446,DHFR,no,5,uGCN,0.756578947368421
447,DHFR,no,5,Mix,0.75
448,DHFR,no,5,GCN-A,0.7401315789473684
449,DHFR,no,5,GCN-B,0.7763157894736842
450,DHFR,no,6,DK,0.6578947368421053
451,DHFR,no,6,uGCN,0.7236842105263158
452,DHFR,no,6,Mix,0.7105263157894737
453,DHFR,no,6,GCN-A,0.7046052631578947
454,DHFR,no,6,GCN-B,0.756578947368421
455,DHFR,no,7,DK,0.7171052631578947
456,DHFR,no,7,uGCN,0.743421052631579
457,DHFR,no,7,Mix,0.743421052631579
458,DHFR,no,7,GCN-A,0.7592105263157896
459,DHFR,no,7,GCN-B,0.8092105263157895
460,DHFR,no,8,DK,0.7236842105263158
461,DHFR,no,8,uGCN,0.7368421052631579
462,DHFR,no,8,Mix,0.7105263157894737
